A_Test_Of_Q8_Element(1)
28	1	1	1
1	0	0	1	     5         0.25	0
2   0	0	1         4         0.25	0
3   0	0	1        3         0.25	0
4   0	0	1      2         0.25	0
5   0	0	1      1         0.25	0
6	1	1	1      0         0.25	0
7   0	0	1          5        -0.25	0
8   0	0	1         4        -0.25	0	
9   0	0	1         3        -0.25	0
10  0	0	1         2        -0.25	0
11  0	0	1         1        -0.25	0
12	1	1	1         0        -0.25	0
13  0	0	1         4.5       0.25	0
14  0	0	1          4         0	0
15  0	0	1          4.5       -0.25	0
16  0	0	1          5         0	0
17  0	0	1         3.5       0.25	0
18  0	0	1         3         0	0
19  0	0	1         3.5       -0.25	0
20  0	0	1         2.5       0.25	0
21  0	0	1         2         0	0
22  0	0	1         2.5       -0.25	0
23  0	0	1          1.5       0.25	0
24  0	0	1          1         0	0
25  0	0	1         1.5       -0.25	0
26  0	0	1         0.5       0.25	0
27	1	1	1         0         0	0
28  0	0	1        0.5       -0.25	  0
1	2
1	1	1
7	1	-1 
3	5	1	
1	10000	0   0.1   0	
1	1	2	8	7	13	14	15	16	1
2	2	3	9	8	17	18	19	14	1
3	3	4	10	9	20	21	22	18	1
4	4	5	11	10	23	24	25	21	1
5	5	6	12	11	26	27	28	24	1
