Patch Test C of C3D8R
16	1	1	1
1	1	1	1	1	1	1	0	0	1
2	0	1	1	1	1	1	2.5	0	1
3	0	0	1	1	1	1	2.5	3	1
4	0	0	1	1	1	1	0	2	1
5	0	0	1	1	1	1	0.5	0.5	1
6	0	0	1	1	1	1	2	0.75	1
7	0	0	1	1	1	1	1.75	1.75	1
8	0	0	1	1	1	1	0.65	1.6	1
9	1	1	1	1	1	1	0	0	0
10	0	1	1	1	1	1	2.5	0	0
11	0	0	1	1	1	1	2.5	3	0
12	0	0	1	1	1	1	0	2	0
13	0	0	1	1	1	1	0.5	0.5	0
14	0	0	1	1	1	1	2	0.75	0
15	0	0	1	1	1	1	1.75	1.75	0
16	0	0	1	1	1	1	0.65	1.6	0
1	10
2	1	8.79808
10	1	8.79808 
4	1	-8.79808
12	1	-8.79808
3	1	5.86538
11	1	5.86538
4	2	1.08173
12	2	1.08173 
3	2	1.08173
11	2	1.08173
4	5	1	
1	1000	0.3	
1	9	10	14	13	1	2	6	5	1
2	10	11	15	14	2	3	7	6	1
3	13	14	15	16	5	6	7	8	1
4	11	12	16	15	3	4	8	7	1
5	12	9	13	16	4	1	5	8	1
