TITLE = "Beam Example 3"

VARIABLES = "X", "Y", "Z", "w", "Theta_Y"

ZONE T="Beam", NODES=36, ELEMENTS=8, DATAPACKING=POINT, ZONETYPE=FEBRICK
0   -0.5    -1     0 0
0   0.5     -1     0 0
0   0.5      1     0 0
0   -0.5     1     0 0
6.25   -0.5    -1     -6.78E-2    -6.78168e-05
6.25   0.5     -1     -6.78E-2    -6.78168e-05
6.25   0.5      1     -6.78E-2    -6.78168e-05
6.25  -0.5     1     -6.78E-2     -6.78168e-05
12.5   -0.5    -1     -2.59E-1     -2.59473e-04
12.5   0.5     -1     -2.59E-1  -2.59473e-04
12.5   0.5      1     -2.59E-1  -2.59473e-04
12.5  -0.5     1     -2.59E-1   -2.59473e-04
18.75  -0.5    -1     -5.57E-1      -5.57278e-04
18.75   0.5     -1     -5.57E-1  -5.57278e-04
18.75   0.5      1     -5.57E-1  -5.57278e-04
18.75  -0.5     1     -5.57E-1  -5.57278e-04
25  -0.5    -1     -9.44E-1         -9.43539e-04
25   0.5     -1     -9.44E-1        -9.43539e-04
25   0.5      1     -9.44E-1        -9.43539e-04
25  -0.5     1     -9.44E-1         -9.43539e-04
31.25  -0.5    -1     -1.40         -1.40057e-03
31.25   0.5     -1     -1.40        -1.40057e-03
31.25   0.5      1     -1.40        -1.40057e-03
31.25  -0.5     1     -1.40         -1.40057e-03
37.5  -0.5    -1     -1.91          -1.91067e-03
37.5   0.5     -1     -1.91         -1.91067e-03
37.5   0.5      1     -1.91         -1.91067e-03
37.5  -0.5     1     -1.91          -1.91067e-03
43.75  -0.5    -1     -2.46         -2.45615e-03
43.75   0.5     -1     -2.46        -2.45615e-03
43.75   0.5      1     -2.46        -2.45615e-03
43.75 -0.5     1     -2.46          -2.45615e-03
50  -0.5    -1     -3.02            -3.01932e-03
50   0.5     -1     -3.02       -3.01932e-03
50   0.5      1     -3.02       -3.01932e-03
50 -0.5     1     -3.02         -3.01932e-03

1   2   3   4   5   6   7   8
5   6   7   8   9   10  11  12
9   10  11  12  13  14  15  16
13  14  15  16  17  18  19  20
17  18  19  20  21  22  23  24
21  22  23  24  25  26  27  28
25  26  27  28  29  30  31  32
29  30  31  32  33  34  35  36
