Patch_Test_C_Of_Q8_Element
20	1	1	1
1	1	1	1		0	0	0
2	0	0	1		2.5	0	0
3	0	0	1		2.5	3	0
4	1	0	1		0	2	0
5	0	0	1		0.5	0.5	0
6	0	0	1		2	0.75	  0
7   0	0	1		1.75  1.75   0
8   0	0	1   	0.65  1.6     0
9   0	0	1		1.2	0	0
10	0	0	1		2.25 0.375 0
11	0	0	1		1.25 0.625	0
12	0	0	1		0.25 0.25 0
13	0	0	1   2.5 1.5 0
14  0   0   1  1.875 1.25 0
15  0   0   1  2.125 2.375 0
16  0   0   1  1.2  1.675 0
17	0	0	1  0.575 1.05 0
18  0   0   1  0.325 1.8 0
19  0   0   1  1.25 2.5  0
20  1   0   1  0 1 0
1	4
2	1	5
13	1	20
3	1	3.3333333333333
19	1	-6.6666666666667
3	5	1	
1	1000	  0.3  1    0	
1	1	2	6	5	9	10	11	12	1
2	2	3	7	6	13	15	14	10	1 
3	5	6	7	8	11	14	16	17	1
4	1	5	8	4	12	17	18	20	1
5	8	7	3	4	16	15	19	18	1
